"FILE_ID","FILE_NAME","FILE_TYPE","TABLESPACE_NAME","TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","LOGFILE_GROUP_NAME","LOGFILE_GROUP_NUMBER","ENGINE","FULLTEXT_KEYS","DELETED_ROWS","UPDATE_COUNT","FREE_EXTENTS","TOTAL_EXTENTS","EXTENT_SIZE","INITIAL_SIZE","MAXIMUM_SIZE","AUTOEXTEND_SIZE","CREATION_TIME","LAST_UPDATE_TIME","LAST_ACCESS_TIME","RECOVER_TIME","TRANSACTION_COUNTER","VERSION","ROW_FORMAT","TABLE_ROWS","AVG_ROW_LENGTH","DATA_LENGTH","MAX_DATA_LENGTH","INDEX_LENGTH","DATA_FREE","CREATE_TIME","UPDATE_TIME","CHECK_TIME","CHECKSUM","STATUS","EXTRA"
"3","./employees/departments.ibd","TABLESPACE","employees/departments","","NULL","NULL","NULL","NULL","InnoDB","NULL","NULL","NULL","0","0","1048576","114688","NULL","1048576","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NORMAL","NULL"
"5","./employees/dept_emp.ibd","TABLESPACE","employees/dept_emp","","NULL","NULL","NULL","NULL","InnoDB","NULL","NULL","NULL","0","25","1048576","114688","NULL","1048576","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4194304","NULL","NULL","NULL","NULL","NORMAL","NULL"
"4","./employees/dept_manager.ibd","TABLESPACE","employees/dept_manager","","NULL","NULL","NULL","NULL","InnoDB","NULL","NULL","NULL","0","0","1048576","114688","NULL","1048576","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NORMAL","NULL"
"2","./employees/employees.ibd","TABLESPACE","employees/employees","","NULL","NULL","NULL","NULL","InnoDB","NULL","NULL","NULL","3","22","1048576","114688","NULL","1048576","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4194304","NULL","NULL","NULL","NULL","NORMAL","NULL"
"7","./employees/salaries.ibd","TABLESPACE","employees/salaries","","NULL","NULL","NULL","NULL","InnoDB","NULL","NULL","NULL","2","104","1048576","114688","NULL","4194304","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4194304","NULL","NULL","NULL","NULL","NORMAL","NULL"
"6","./employees/titles.ibd","TABLESPACE","employees/titles","","NULL","NULL","NULL","NULL","InnoDB","NULL","NULL","NULL","2","27","1048576","114688","NULL","1048576","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4194304","NULL","NULL","NULL","NULL","NORMAL","NULL"
"4294967293","./ibtmp1","TEMPORARY","innodb_temporary","","NULL","NULL","NULL","NULL","InnoDB","NULL","NULL","NULL","2","12","1048576","12582912","NULL","67108864","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6291456","NULL","NULL","NULL","NULL","NORMAL","NULL"
"1","./sys/sys_config.ibd","TABLESPACE","sys/sys_config","","NULL","NULL","NULL","NULL","InnoDB","NULL","NULL","NULL","0","0","1048576","0","NULL","1048576","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","NULL","NULL","NULL","NORMAL","NULL"
"4294967279","./undo_001","UNDO LOG","innodb_undo_001","","NULL","NULL","NULL","NULL","InnoDB","NULL","NULL","NULL","4","16","1048576","16777216","NULL","16777216","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8388608","NULL","NULL","NULL","NULL","NORMAL","NULL"
"4294967278","./undo_002","UNDO LOG","innodb_undo_002","","NULL","NULL","NULL","NULL","InnoDB","NULL","NULL","NULL","4","16","1048576","16777216","NULL","16777216","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8388608","NULL","NULL","NULL","NULL","NORMAL","NULL"
"0","./ibdata1","TABLESPACE","innodb_system","","NULL","NULL","NULL","NULL","InnoDB","NULL","NULL","NULL","2","12","1048576","12582912","NULL","67108864","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6291456","NULL","NULL","NULL","NULL","NORMAL","NULL"
"4294967294","./mysql.ibd","TABLESPACE","mysql","","NULL","NULL","NULL","NULL","InnoDB","NULL","NULL","NULL","3","27","1048576","0","NULL","1048576","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6291456","NULL","NULL","NULL","NULL","NORMAL","NULL"
